# miniBatchSize= 103  fullBatchSize= 7007  nSamples/MC= 1  pseudoNCounts= 10.0
# nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 100  maxExtendedIterations= 1
# Interactions (hia, Jijab) are the same for all steps; read from log_Interactions_hJ_4759.txt.gz
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and 97 minibatch ensembles with pseudocounts= 10.0000
103	0 1	0.0725164 0.643845	0.00236463 0.0286294
104	0 1	0.0837515 0.674802	0.00233024 0.0285558
105	0 1	0.0750501 0.648067	0.00230924 0.0284875
106	0 1	0.0687572 0.635342	0.00228491 0.0284264
107	0 1	0.0779500 0.661516	0.00230643 0.0284554
108	0 1	0.0740550 0.644050	0.00229769 0.0284300
109	0 1	0.0729754 0.644827	0.00230976 0.0284664
110	0 1	0.0798377 0.662268	0.00230457 0.0284371
111	0 1	0.0818351 0.664960	0.00231447 0.0284770
112	0 1	0.0822550 0.679002	0.00232345 0.0284706
113	0 1	0.0871683 0.685670	0.00234105 0.0285053
114	0 1	0.0907730 0.689294	0.00236670 0.0285288
115	0 1	0.0738938 0.647442	0.00240467 0.0285826
116	0 1	0.0862614 0.679326	0.00242045 0.0285977
117	0 1	0.0777289 0.657550	0.00244638 0.0286343
118	0 1	0.0747068 0.646923	0.00246118 0.0287069
119	0 1	0.0819793 0.672732	0.00247959 0.0287346
120	0 1	0.0750382 0.643661	0.00247360 0.0287655
121	0 1	0.0728009 0.650226	0.00246706 0.0287282
122	0 1	0.0776771 0.651221	0.00246964 0.0287339
123	0 1	0.0901321 0.680648	0.00248899 0.0287503
124	0 1	0.0818190 0.658663	0.00250723 0.0288100
125	0 1	0.0757083 0.650456	0.00250767 0.0287951
126	0 1	0.0881148 0.682364	0.00249619 0.0287762
127	0 1	0.0803872 0.664497	0.00249966 0.0287514
128	0 1	0.0800275 0.655285	0.00249166 0.0287233
129	0 1	0.0774107 0.655988	0.00251730 0.0287713
130	0 1	0.0852144 0.674781	0.00252898 0.0287727
131	0 1	0.0820952 0.673116	0.00255422 0.0288127
132	0 1	0.0811694 0.668618	0.00255932 0.0288137
133	0 1	0.0739806 0.650554	0.00252757 0.0287310
134	0 1	0.0800349 0.656853	0.00249115 0.0286658
135	0 1	0.0783490 0.657541	0.00249414 0.0286937
