Warning: Only java properties are supported in JAVA_OPTS and JDK_JAVA_OPTIONS environment variables. Other options are ignored: -Xmx16g, -Xss1g, -Xmx16g, -Xss1g
[90mCompiling project (Scala 3.6.4, JVM (17))[0m
[90mCompiled project (Scala 3.6.4, JVM (17))[0m
NOTE: Picked up JDK_JAVA_OPTIONS: -Xmx16g -Xss1g -Djava.library.path=/usr/local/scala/javalib
# ./RunBM.scala . ./PiaPijab.out.gz ./representativeMSA.fasta.gz
# seed for scala.util.Random = 19
# seed for org.sanzo.potts.SetSeedForRand.randBasis = 0
trying to return java 16 instance
Mar 29, 2025 4:35:19 PM dev.ludovic.netlib.blas.InstanceBuilder initializeJava
WARNING: Failed to load implementation from:dev.ludovic.netlib.blas.VectorBLAS
return java 11 instance
ModAdam: step= 15  15  sqrt(max_i m^_i^2)= 0.206971  sqrt(sum_i m^_i^2)= 1.501462  ratio= 0.137846  learning rate for ModAdam= 0.004337  learning rate= 0.000900
ModAdam: step= 16  16  sqrt(max_i v^_i)=   0.205611  sqrt(sum_i v^_i)=   2.812287  ratio= 0.073112  learning rate for ModAdam= 0.004669  learning rate= 0.000960
ModAdam: step= 16  16  sqrt(max_i m^_i^2)= 0.203047  sqrt(sum_i m^_i^2)= 1.493867  ratio= 0.135921  learning rate for ModAdam= 0.004669  learning rate= 0.000960
ModAdam: step= 17  17  sqrt(max_i v^_i)=   0.206621  sqrt(sum_i v^_i)=   2.813705  ratio= 0.073434  learning rate for ModAdam= 0.004937  learning rate= 0.001020
ModAdam: step= 17  17  sqrt(max_i m^_i^2)= 0.205326  sqrt(sum_i m^_i^2)= 1.486852  ratio= 0.138094  learning rate for ModAdam= 0.004937  learning rate= 0.001020
ModAdam: step= 18  18  sqrt(max_i v^_i)=   0.204566  sqrt(sum_i v^_i)=   2.813425  ratio= 0.072711  learning rate for ModAdam= 0.005279  learning rate= 0.001080
ModAdam: step= 18  18  sqrt(max_i m^_i^2)= 0.200718  sqrt(sum_i m^_i^2)= 1.478181  ratio= 0.135787  learning rate for ModAdam= 0.005279  learning rate= 0.001080
ModAdam: step= 19  19  sqrt(max_i v^_i)=   0.205130  sqrt(sum_i v^_i)=   2.814523  ratio= 0.072883  learning rate for ModAdam= 0.005557  learning rate= 0.001140
ModAdam: step= 19  19  sqrt(max_i m^_i^2)= 0.202363  sqrt(sum_i m^_i^2)= 1.477582  ratio= 0.136956  learning rate for ModAdam= 0.005557  learning rate= 0.001140
ModAdam: step= 20  20  sqrt(max_i v^_i)=   0.204403  sqrt(sum_i v^_i)=   2.813813  ratio= 0.072643  learning rate for ModAdam= 0.005871  learning rate= 0.001200
ModAdam: step= 20  20  sqrt(max_i m^_i^2)= 0.200980  sqrt(sum_i m^_i^2)= 1.473032  ratio= 0.136439  learning rate for ModAdam= 0.005871  learning rate= 0.001200
ModAdam: step= 21  21  sqrt(max_i v^_i)=   0.205346  sqrt(sum_i v^_i)=   2.814917  ratio= 0.072949  learning rate for ModAdam= 0.006136  learning rate= 0.001260
ModAdam: step= 21  21  sqrt(max_i m^_i^2)= 0.203474  sqrt(sum_i m^_i^2)= 1.471252  ratio= 0.138300  learning rate for ModAdam= 0.006136  learning rate= 0.001260
ModAdam: step= 22  22  sqrt(max_i v^_i)=   0.204822  sqrt(sum_i v^_i)=   2.814947  ratio= 0.072762  learning rate for ModAdam= 0.006445  learning rate= 0.001320
ModAdam: step= 22  22  sqrt(max_i m^_i^2)= 0.202381  sqrt(sum_i m^_i^2)= 1.471420  ratio= 0.137541  learning rate for ModAdam= 0.006445  learning rate= 0.001320
ModAdam: step= 23  23  sqrt(max_i v^_i)=   0.205129  sqrt(sum_i v^_i)=   2.813981  ratio= 0.072896  learning rate for ModAdam= 0.006727  learning rate= 0.001380
ModAdam: step= 23  23  sqrt(max_i m^_i^2)= 0.203401  sqrt(sum_i m^_i^2)= 1.466914  ratio= 0.138659  learning rate for ModAdam= 0.006727  learning rate= 0.001380
ModAdam: step= 24  24  sqrt(max_i v^_i)=   0.206594  sqrt(sum_i v^_i)=   2.813875  ratio= 0.073420  learning rate for ModAdam= 0.006970  learning rate= 0.001440
ModAdam: step= 24  24  sqrt(max_i m^_i^2)= 0.207104  sqrt(sum_i m^_i^2)= 1.463284  ratio= 0.141533  learning rate for ModAdam= 0.006970  learning rate= 0.001440
ModAdam: step= 25  25  sqrt(max_i v^_i)=   0.204525  sqrt(sum_i v^_i)=   2.812819  ratio= 0.072712  learning rate for ModAdam= 0.007334  learning rate= 0.001500
